DFSR Position,Players,FanDuel Points,Salary,Pts/$,Opp,Minutes,Team,Position,Points,Rebound,Assists,Steals,Blocks,Turnovers,Date,FD ID,FantasyDATA ID,Offensive Rebounds,Defensive Rebounds,FGM,FGA,FTM,FTA,3PTM,3PTA,TEAM,DK Salary,DK Points,DraftKings ID,Last Update,First Name,Last Name,"","","",Yahoo
PG,Quinn Cook,0.7646653424,2700,0.2832093861,HOU,1,GS,PG,0.449917038,0.1003071073,0.1258118926,0.01800640967,0.001487427091,0.05281957364,4/29/2018,"",20001573,0.005319148936,0.03162787314,0.1792246145,0.3416754415,0.03162787314,0.005319148936,0.06079317805,0.1423254291,GS,2600,0.8069932368,601140,5/27/2018 11:34:02,Quinn,Cook,"","","",""
PF,Jordan Bell,15.66119746,3000,5.220399154,HOU,15,GS,PF,4.655953833,3.597287311,1.742118446,0.5999351397,1.036299519,0.8333827873,4/29/2018,"",20001846,1.111111111,2.270496005,1.921188927,3.259167683,1.397228311,1.018518519,0.08732676942,0.5239606165,GS,3000,14.66518195,743701,5/27/2018 11:34:02,Jordan,Bell,"","","",""
C,Nene Hilario,0.9266592092,3500,0.2647597741,GS,1,HOU,C,0.4536912752,0.2348942445,0.05994953732,0.03430872483,0.01703675945,0.05286591812,4/29/2018,"",20000439,0.07859848485,0.15625,0.2017045455,0.3154362416,0.1619318182,0.0946969697,0.0004734848485,0.00946969697,HOU,2500,0.9137281386,168013,5/27/2018 11:34:02,Nene,Hilario,"","","",""
SG,Eric Gordon,36.92055129,4800,7.691781519,GS,42,HOU,SG,26.11446061,3.412891574,3.160874017,0.8596972338,0.5079542539,2.133644695,4/29/2018,"",20000471,0.5498871332,3.226320542,7.355420655,20.28779033,3.323110158,2.734266366,4.610231095,12.29956016,HOU,5900,39.09548227,401085,5/27/2018 11:34:02,Eric,Gordon,"","","",""
PF,Ryan Anderson,0.6594936246,2300,0.2867363585,GS,1,HOU,PF,0.3400288072,0.1885721214,0.02991392614,0.01362971187,0.01129561357,0.02646859372,4/29/2018,"",20000475,0.05371329019,0.1022831633,0.1473341215,0.2645280834,0.06821901444,0.05848680936,0.08015517487,0.2264492285,HOU,2500,0.6973087895,329715,5/27/2018 11:34:02,Ryan,Anderson,"","","",""
SF,Trevor Ariza,24.80449627,4800,5.16760339,GS,36,HOU,SF,12.25397231,4.761127135,1.702092543,1.562582969,0.2000502926,1.003867198,4/29/2018,"",20000541,0.7066278223,5.112291697,3.939945011,10.09057771,1.635205936,1.233517844,2.591188939,7.068724873,HOU,4300,25.07744744,229738,5/27/2018 11:34:02,Trevor,Ariza,"","","",""
SG,James Harden,66.43977846,11500,5.77737204,GS,41,HOU,SG,39.60702622,6.460709736,10.3098391,2.060637969,0.7601013932,4.847076182,4/29/2018,"",20000544,1.347222222,6.397916667,9.679875,26.17349106,12.605625,10.5,4.484179492,11.734125,HOU,10100,70.10770242,395388,5/27/2018 11:34:02,James,Harden,"","","",""
C,Clint Capela,38.39488944,8000,4.799361179,GS,31,HOU,C,15.96715706,11.8849323,0.9326164268,0.8313916501,1.927649332,1.510233968,4/29/2018,"",20000549,3.460305585,6.936780822,7.446859852,10.48237575,3.56516333,1.83256059,0,0,HOU,5600,38.48521205,830647,5/27/2018 11:34:02,Clint,Capela,"","","",""
SF,Joe Johnson,0.564616118,2000,0.282308059,GS,1,HOU,SF,0.2974174549,0.1295369447,0.05583041715,0.01586252097,0.005774368265,0.0369019639,4/29/2018,"",20000586,0.01533333333,0.1066,0.1425838828,0.2883043852,0.04093992674,0.03167765568,0.0443281193,0.1348194139,HOU,2500,0.5900711176,3501,5/27/2018 11:34:02,Joe,Johnson,"","","",""
PF,Tarik Black,0.9738606524,2100,0.4637431678,GS,1,HOU,PF,0.3513043033,0.3006444382,0.0247930923,0.04220532448,0.05329924763,0.06192033149,4/29/2018,"",20000697,0.1248405467,0.1812121298,0.1564416287,0.2476060451,0.1011577449,0.06738041002,0,0,HOU,2500,0.924348468,551761,5/27/2018 11:34:02,Tarik,Black,"","","",""
PF,Luc Richard Mbah a Moute,0.6303648365,2800,0.2251302987,GS,1,HOU,PF,0.2952332797,0.117770563,0.03069676931,0.046222284,0.01538710958,0.03706645359,4/29/2018,"",20000725,0.02678571429,0.07232142857,0.1081431362,0.2198134244,0.04922377232,0.0309375,0.03149256664,0.0626484375,HOU,2600,0.6089234811,295436,5/27/2018 11:34:02,Luc,Richard,Mbah,a,Moute,""
SF,Gerald Green,17.57006935,3000,5.856689783,GS,21,HOU,SF,11.0321754,2.914229301,0.6203117981,0.5638090383,0.3441931243,0.6136553944,4/29/2018,"",20000851,0.4329896907,2.043882257,3.223494303,9.340575171,1.004422138,0.8431904504,1.815603289,3.048304395,HOU,3500,18.02240799,"",5/27/2018 11:34:02,Gerald,Green,"","","",""
SF,P.J. Tucker,23.19416635,5300,4.376257803,GS,38,HOU,SF,8.424626851,7.247003837,1.348672589,1.346144178,0.4079068215,1.212026982,4/29/2018,"",20000856,1.832587336,5.825854258,4.095949372,7.313874832,1.517788346,1.170491266,1.92376597,4.948405841,HOU,4900,23.37036202,229602,5/27/2018 11:34:02,P.J.,Tucker,"","","",""
