Position,Player,Points,Points/$,FanDuel Salary,Team,Opponent,FantasyData ID,DraftKings Salary,DK Proj. Points,Goals,Assists,Shots,(+/-),Block,PIM,PP G,PP A,Wins,Goals Against,Saves,Shutouts,Date,FanDuelID,DraftKingsID
W,Eeli Tolvanen,4.287578947,1.43,3000,NAS,WPG,30003660,2800,1.255315789,0.03221052632,0.1207894737,0.4263157895,"",1.407894737,"",0,0,0,0,0,0,5/7/2018,"",""
G,Steve Mason,17.3393865,2.31,7500,WPG,NAS,30000045,8100,4.334846626,0,0.03409090909,0,0,0,0,0,0,0.5500940696,2.699435583,26.92,0,5/7/2018,8312,382350
W,Shawn Matthias,3.891726316,1.3,3000,WPG,NAS,30000094,2800,1.138365789,0.03438947368,0.1040131579,0.6114473684,-0.02526315789,1.042894737,0.4,0,0,0,0,0,0,5/7/2018,8879,377663
W,Matt Hendricks,4.473281418,1.44,3100,WPG,NAS,30000535,2800,1.292897422,0.04984559613,0.1352376477,0.5649167562,-0.003222341568,1.180853921,0.5306122449,0,0,0,0,0,0,5/7/2018,9121,395427
D,Joe Morrow,8.574181818,2.45,3500,WPG,NAS,30000606,2900,2.526727273,0.198,0.3090909091,1.836363636,-0.4144385027,0.4363636364,0.7058823529,0.1781818182,0.1781818182,0,0,0,0,5/7/2018,15349,600125
C,Paul Stastny,9.526205072,1.67,5700,WPG,NAS,30000795,5200,2.711780435,0.2030934783,0.4144202899,1.857318841,-0.03373188406,0.4663043478,0.2333333333,0.1118478261,0.1118478261,0,0,0,0,5/7/2018,8274,330094
G,Connor Hellebuyck,18.72910079,2.31,8100,WPG,NAS,30000801,8300,4.682275198,0,0.0078125,0,0,0,0,0,0,0.5500940696,2.699435583,28.65714286,0,5/7/2018,58909,681454
W,Joel Armia,5.990363636,1.82,3300,WPG,NAS,30000818,2800,1.721818182,0.144,0.1745454545,1.44,"",0.3345454545,0.2909090909,0.05345454545,0.05345454545,0,0,0,0,5/7/2018,42983,600113
D,Dustin Byfuglien,11.93990489,1.81,6600,WPG,NAS,30000820,5800,3.6009375,0.1250951087,0.4796195652,2.667663043,0.1679347826,1.383152174,1.826086957,0.2410054348,0.2410054348,0,0,0,0,5/7/2018,8264,296054
W,Andrew Copp,5.597778997,1.87,3000,WPG,NAS,30000821,2900,1.648038009,0.1062543103,0.1934952978,1.160619122,0.1404780564,0.5457680251,0.1724137931,0.08909090909,0.08909090909,0,0,0,0,5/7/2018,62157,744810
